"","texto","muyNeg","Neg","Pos","muyPos","Valor","Sentimiento"
"1","  Las feministas denuncian a los príncipes de Disney por  promover la violencia sexual  Feminis ","0","1","1","0",0,"Neutro"
"2","  Para apoyará  tipos de proyectos    Proyectos cívico sociales y económicos  incluidos sobre derecho ","0","0","0","0",0,"Neutro"
"3","mi mama y yo tamos hablando sobre enfermedades mentales  lgbt y feminismo uwu","0","1","0","0",-0.5,"Negativo"
"4","   Quién carajo es Ernesto Sandler  He ido al Ateneo esta mañana y me he encontrado con ésta sorpresa que obvio me cayó como ","0","0","1","0",0.5,"Positivo"
"5","Las mujeres en el arte  censura y precariedad  ","0","0","0","0",0,"Neutro"
"6","   mujer dice algo sobre feminismo igualdad de derechos  tuiter  rompe pelotas deja de imponer tu pensamiento te crees re ","0","1","0","1",0.416666666666667,"Positivo"
"7","    Abro hilo sobre cine    Abro hilo sobre feminismo    Abro hilo sobre Cataluña    Yo no tengo ni idea de nada   Una de ","0","0","0","0",0,"Neutro"
"8","  luego me di cuenta que no debería sentirme así  que esta es la razón por la que necesitamos el feminismo  No debería sentirm ","0","0","0","0",0,"Neutro"
"9","   El Secreto de Las Mujeres  Quieren Compañeros Sexuales Decentes      Sí  como lees  Aunque toda tu vida hayas aprendido a ","0","0","2","0",0.833333333333333,"Positivo"
"10","  Ya lo saben el  feminismo se cura con un buen VERGAZO ya sea en el coño o en el hocico    Y no lo lo digo yo     ","1","0","0","0",-1,"Muy Negativo"
"11","bue tampoco pasa por ahí  feminismo no es usar esas remeras que dicen girl power","0","0","0","0",0,"Neutro"
"12","  La directora feminista del Huffington Post     matar a todos los hombres  Feminismo","1","0","0","0",-1,"Muy Negativo"
"13","  NI MACHISMO NI FEMINISMO  FOTOS DE SPIDERMAN","0","0","0","0",0,"Neutro"
"14","claro  claro  en feminismo  JAJAJAJAJAJA","0","2","0","0",-0.833333333333333,"Negativo"
"15","  El feminismo es un movimiento que pide derechos    A veces esos derechos incluyen la matanza legalizada de los propios hij ","0","0","0","2",1.66666666666667,"Muy Positivo"
"16","   Lo que debería ocurrir es que las mujeres se colocasen en puestos de poder  para compartir el liderazgo con los hombres  ","0","0","0","0",0,"Neutro"
"17","Hay hasta feminismo pro vida ","0","0","0","0",0,"Neutro"
"18","Totalmente de acuerdo  con la cuestión del feminismo extremo  distorsionaron todo","0","0","1","0",0.5,"Positivo"
